LOCATION,X,Y
Clapham Park Road opposite 88,529724.2487,175079.0361
Westminster Bridge Road 111,531065.2047,179491.3207
Waterloo Road 101,531213.2105,179911.7044
Wandsworth Road junction with Thessaly Road,529824.917,176766.769
Effra Road opposite 47-49,531050.6387,174965.8079
Wansworth Road opposite St Rule Street,529123.582,176067.486
Wandsworth Road outside 560-562,528871.3504,175904.3117
Acre Lane 8A,530938.3497,175251.4139
Acre Lane opposite 206,530147.7216,175072.0943
"Clapham Park Road, Ascot Parade",530024.34,175082.2121
Wandsworth Road outside Clapham Baptist Church,528633.8475,175773.7344
Railton Road 216-218,531943.3161,174371.6847
Brixton Station Road - Market bays 14/15,531195.8677,175493.7725
Tulse Hill outside 33,531197.1558,174491.6726
Loughborough Junction - Traffic Island,531865.3725,175783.0221
Atlantic Road outside 56-58,531285.3634,175304.928
Kings Avenue outside 14,530080.473,174827.3237
Coldharbour Lane outside 390-394,531199.4815,175330.9213
Atlantic Road opposite 28,531177.3062,175431.32
Effra Road opposite 81,531123.3052,174677.6579
Tulse Hill opposite 7-11,531157.8391,174568.9507
Wandsworth Road Sainsbury's Petrol Station,530093.5143,177439.8988
Westminster Bridge Road opposite 139,531007.5951,179551.7263
Lambeth Road opposite International House,531124.958,179178.2622
Cedar Road opposite 190,528606.0793,175560.6138
Norwood Road 65,532075.0762,174160.6428
Cedars Road,528687.0825,175274.1387
Acre Lane opposite Tesco's,530708.6585,175146.6343
Kennington Road outside 123,531248.0845,179011.0953
Norwood Road outside 354,531892.7389,172316.7991
Wandsworth Road opposite 394A,529384.7682,176261.5414
Lambeth Road outside Park,530796.1394,179038.2288
Kennington Road opposite Police Station,531151.728,179293.4607
